indice_tiempo;salario_minimo_vital_movil_mensual;salario_minimo_vital_movil_diario;salario_minimo_vital_movil_hora
1/1/1965;9800.0;392.0;49.0
1/2/1965;9800.0;392.0;49.0
1/3/1965;9800.0;392.0;49.0
1/4/1965;9800.0;392.0;49.0
1/5/1965;11550.0;462.0;57.75
1/6/1965;11550.0;462.0;57.75
1/7/1965;11550.0;462.0;57.75
1/8/1965;11550.0;462.0;57.75
1/9/1965;11550.0;462.0;57.75
1/10/1965;11550.0;462.0;57.75
1/11/1965;13440.0;537.6;67.2
1/12/1965;13440.0;537.6;67.2
1/1/1966;13440.0;537.6;67.2
1/2/1966;13440.0;537.6;67.2
1/3/1966;13440.0;537.6;67.2
1/4/1966;13440.0;537.6;67.2
1/5/1966;15750.0;630.0;78.75
1/6/1966;15750.0;630.0;78.75
1/7/1966;15750.0;630.0;78.75
1/8/1966;15750.0;630.0;78.75
1/9/1966;15750.0;630.0;78.75
1/10/1966;15750.0;630.0;78.75
1/11/1966;15750.0;630.0;78.75
1/12/1966;15750.0;630.0;78.75
1/1/1967;15750.0;630.0;78.75
1/2/1967;15750.0;630.0;78.75
1/3/1967;15750.0;630.0;78.75
1/4/1967;15750.0;630.0;78.75
1/5/1967;15750.0;630.0;78.75
1/6/1967;15750.0;630.0;78.75
1/7/1967;15750.0;630.0;78.75
1/8/1967;15750.0;630.0;78.75
1/9/1967;15750.0;630.0;78.75
1/10/1967;15750.0;630.0;78.75
1/11/1967;15750.0;630.0;78.75
1/12/1967;15750.0;630.0;78.75
1/1/1968;15750.0;630.0;78.75
1/2/1968;15750.0;630.0;78.75
1/3/1968;15750.0;630.0;78.75
1/4/1968;15750.0;630.0;78.75
1/5/1968;15750.0;630.0;78.75
1/6/1968;15750.0;630.0;78.75
1/7/1968;15750.0;630.0;78.75
1/8/1968;15750.0;630.0;78.75
1/9/1968;15750.0;630.0;78.75
1/10/1968;15750.0;630.0;78.75
1/11/1968;15750.0;630.0;78.75
1/12/1968;15750.0;630.0;78.75
1/1/1969;20000.0;800.0;100.0
1/2/1969;20000.0;800.0;100.0
1/3/1969;20000.0;800.0;100.0
1/4/1969;20000.0;800.0;100.0
1/5/1969;20000.0;800.0;100.0
1/6/1969;20000.0;800.0;100.0
1/7/1969;20000.0;800.0;100.0
1/8/1969;20000.0;800.0;100.0
1/9/1969;20000.0;800.0;100.0
1/10/1969;20000.0;800.0;100.0
1/11/1969;20000.0;800.0;100.0
1/12/1969;20000.0;800.0;100.0
1/1/1970;220.0;8.8;1.1
1/2/1970;220.0;8.8;1.1
1/3/1970;220.0;8.8;1.1
1/4/1970;220.0;8.8;1.1
1/5/1970;220.0;8.8;1.1
1/6/1970;220.0;8.8;1.1
1/7/1970;220.0;8.8;1.1
1/8/1970;220.0;8.8;1.1
1/9/1970;220.0;8.8;1.1
1/10/1970;220.0;8.8;1.1
1/11/1970;220.0;8.8;1.1
1/12/1970;220.0;8.8;1.1
1/1/1971;300.0;12.0;1.5
1/2/1971;300.0;12.0;1.5
